g,g,l,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
_,_,X,d,d,_,_,_,d,_,_,d,_,_,_,_,r,_,3,d
_,_,d,_,_,_,_,d,_,_,_,d,_,d,_,_,d,_,r,d
_,d,_,_,d,a,a,_,_,_,d,_,_,_,d,_,_,_,_,_
_,_,_,u,u,_,_,a,_,_,_,d,d,x,_,_,_,d,_,_
d,d,z,a,_,_,d,1,d,_,_,d,d,_,_,a,d,d,d,z
_,_,_,d,d,_,d,_,d,_,d,_,_,_,_,u,a,d,_,_
_,_,d,_,_,_,_,_,d,_,_,_,d,_,_,_,_,_,_,_
_,_,_,_,d,d,_,_,u,d,_,_,d,_,_,d,_,_,_,_
_,d,d,_,_,_,_,u,u,_,_,_,d,_,_,d,_,_,e,d
_,_,_,x,_,d,_,_,x,_,_,m,d,x,d,_,_,_,_,e
_,_,_,_,_,d,_,_,_,_,_,d,_,_,d,_,_,d,_,d
d,x,d,_,_,d,d,_,d,d,m,_,_,_,d,_,_,d,_,4
_,_,d,_,_,_,_,z,_,_,m,d,_,_,z,_,_,d,d,z
d,_,_,d,d,_,d,z,_,d,_,d,d,_,_,d,t,_,_,_
_,_,m,_,2,d,e,_,_,d,_,_,d,_,_,_,t,_,d,_
_,d,_,_,t,_,_,e,_,_,_,_,_,d,_,_,_,_,_,d
_,d,_,X,t,_,_,d,a,a,d,_,_,_,r,_,_,d,_,_
_,_,_,d,_,_,d,_,_,_,_,_,d,r,_,d,_,d,d,d
_,_,_,d,_,_,_,_,_,_,d,_,_,_,_,d,_,_,_,_
